Title,Description
Penyebab Psikosis,"Penyebab dari psikosis berbeda-beda dan penyebab pastinya sering kali tidak jelas. Namun, secara umum masih belum diketahui pasti apa yang menjadi penyebab penyakit ini. 
Psikosis rentan muncul sebagai manifestasi gejala dari penyakit, tetapi dapat juga dipicu melalui konsumsi obat-obatan, terutama obat-obatan terlarang, kekurangan tidur, dan faktor lingkungan.
Beberapa kondisi pada tubuh yang dapat menyebabkan psikosis antara lain adalah:
Penyakit Parkinson
Penyakit Huntington.
Tumor atau kista di otak.
Penyakit Alzheimer.
Stroke.
Epilepsi.
HIV, Sifilisis, dan infeksi pada otak lainnya.
Trauma kepala.
Overdosis alkohol dan NAPZA.
Psikosis juga dapat muncul sebagai suatu manifestasi dari adanya gangguan pada jiwa maupun kepribadian seseorang, antara lain:
Kelainan bipolar.
Depresi.
Skizofrenia.
Gangguan delusi.
Gangguan psikotik menyeluruh."
Faktor Risiko Psikosis,"Terdapat beberapa faktor risiko yang dapat menungkatkan risiko seseorang mengalami psikosis, antara lain: 
Memiliki pola tidur yang buruk.
Gemar mengonsumsi alkohol atau menggunakan ganja.
Mengalami trauma akibat kehilangan seseorang yang dicintai, seperti orangtua atau pasangan. 
Risiko penyakit mental ini juga disebut meningkat pada orang yang memiliki orang tua dengan riwayat penyakit sama. Pengidap gangguan mental yang harus menjalani pengobatan jangka panjang juga rentan mengalami psikosis. "
Gejala Psikosis,"Seseorang dengan psikosis biasanya akan memiliki gejala yang meliputi:
Halusinasi, yaitu sebuah kondisi yang ditandai dengan adanya sebuah persepsi yang dirasakan tanpa adanya rangsangan nyata terhadap panca indra. Hal ini meliputi penglihatan, pendengaran, penciuman, dan sentuhan. Sebagai contoh, pengidap merasa melihat suatu sosok atau mendengar suara yang tidak nyata.
Delusi atau waham adalah sebuah keyakinan yang dipegang oleh pengidap, tetapi keyakinan tersebut adalah salah. Misalnya, seseorang merasa dirinya adalah seorang manusia super yang bisa terbang.
Rasa cemas yang berlebihan.
Penuh dengan rasa curiga.
Sulit berkonsentrasi.
Mengalami gangguan mood.
Cenderung menjadi murung, menarik diri dari lingkungan keluarga atau teman.
Tidur terus-menerus.
Depresi.
Gangguan dalam berbicara, seperti tidak fokus, berpindah dari topik satu ke topik lain, dan sering kali tidak nyambung.
Memiliki pikiran-pikiran untuk bunuh diri dan melakukan percobaan bunuh diri."
Diagnosis Psikosis,"Diagnosis dari psikosis ditegakkan melalui pemeriksaan status mental. Kemudian dokter akan melakukan beberapa pemeriksaan penunjang jika dicurigai gejala psikosis yang muncul diakibatkan suatu kelainan organik yang diidap oleh pengidap. Misalnya dengan pemeriksaan CT scan atau MRI."
Pengobatan Psikosis,"Gejala psikosis dapat ditangani dengan pemberian obat-obatan dan terapi kognitif. Ketika pengidap mengalami serangan psikosis seperti sedang mengamuk, biasanya dokter memberikan penanganan utama dengan menginjeksikan obat penenang.
Obat anti psikosis diberikan kepada untuk dikonsumsi dengan tujuan mengontrol kondisi pengidap dan mencegah terjadinya serangan selanjutnya. Sementara itu, terapi kognitif ditujukan untuk melatih pola dan cara berpikir pengidap, cara ini dipercaya lebih efektif dibandingkan konsumsi obat semata."
Pencegahan Psikosis,"Sampai saat ini belum ada pencegahan pasti yang dapat dilakukan untuk mencegah terjadinya psikosis secara umum. Namun, beberapa cara yang dapat dilakukan sebagai upaya menghindari kondisi ini adalah dengan:
Mengobati kondisi yang bisa memicu psikosis
Menerapkan gaya hidup sehat dan berolahraga 
Cukup tidur
Menghindari alkohol dan NAPZA
Menghindari depresi. Salah satu cara yang dapat dilakukan adalah dengan pergi berlibur, berbicara dengan konselor jika menghadapi kesulitan dalam menyelesaikan suatu masalah."
Definisi PTSD,"PTSD (Post-Traumatic Stress Disorder) atau gangguan stres pascatrauma adalah kondisi kesehatan jiwa yang dipicu oleh peristiwa traumatis. Misalnya, pelecehan seksual, bencana alam, peperangan, atau kecelakaan. 
Akan tetapi, tidak semua orang yang mengingat atau pernah mengalami kejadian yang traumatis akan mengidap PTSD. Sebab, ada beberapa ciri khas yang menjadi acuan dokter untuk mendiagnosis apakah seseorang mengalami kelainan ini atau tidak. "
Penyebab PTSD,"PTSD bisa terjadi setelah seseorang melihat atau mengalami kejadian yang mengancam atau membahayakan nyawa. Namun, ahli belum mengetahui alasan mengapa kondisi tersebut bisa memicu munculnya masalah kesehatan mental ini pada sebagian orang. 
Hanya, muncul dugaan bahwa kelainan tersebut terjadi karena gabungan dari beberapa kondisi berikut:
Memiliki pengalaman yang tidak menyenangkan.
Adanya riwayat kelainan kesehatan psikologis pada keluarga. 
Mempunyai kepribadian temperamental.
Sementara itu, beberapa kejadian yang paling sering menjadi penyebab PTSD, antara lain:
Kecelakaan.
Peperangan.
Bencana alam.
Mengalami kekerasan fisik.
Mendapatkan perundungan.
Mengalami pelecehan seksual.
Menjalani tindakan medis seperti operasi.
Memiliki kondisi medis yang mengancam nyawa."
Faktor Risiko PTSD,"Beberapa faktor pemicu gangguan stres pasca trauma antara lain:
Pengalaman yang menakutkan, termasuk jumlah dan tingkat keparahan trauma yang telah terjadi dalam hidup.
Mewarisi risiko kesehatan mental, riwayat gangguan kecemasan dan depresi dalam keluarga.
Ciri-ciri kepribadian seperti kecenderungan temperamental.
Cara otak mengatur bahan kimia dan hormon yang tubuh lepaskan sebagai respons terhadap stres.
PTSD bisa menyasar segala usia. Namun, beberapa faktor berikut dapat meningkatkan risiko seperti:
Mengalami trauma yang intens.
Pernah mengalami trauma lain pada awal kehidupan, seperti pelecehan pada masa kanak-kanak.
Memiliki pekerjaan yang meningkatkan risiko terkena peristiwa traumatis, seperti anggota militer.
Mempunyai masalah kesehatan mental lainnya, seperti kecemasan atau depresi.
Adanya masalah penyalahgunaan zat, seperti minum alkohol berlebihan atau penggunaan narkoba.
Memiliki anggota keluarga sedarah dengan masalah mental."
Gejala PTSD,"Kemunculan gejala sangat beragam. Gejala PTSD bisa saja muncul dalam 1 bulan hingga bertahun-tahun setelah mengalami kejadian traumatis. Gejala PTSD terbagi menjadi 4 tipe yaitu:
1. Gejala ingatan intrusif
Beberapa kondisi yang masuk dalam gejala ingatan intrusif, antara lain: 
Ingatan yang tidak diinginkan. Gejala bersifat mengganggu dan datang secara berulang.
Menghidupkan peristiwa traumatis seakan peristiwa tersebut terjadi lagi (kilas balik).
Mimpi buruk tentang peristiwa tersebut.
Respons terhadap peristiwa traumatis.
Selain itu, pengidap juga cenderung menghindari sesuatu. Ini termasuk menghindari pikiran dan obrolan tentang peristiwa traumatis maupun tempat, kegiatan, atau seseorang yang mengingatkan pada kejadian traumatis.
2. Perubahan negatif
Selanjutnya, gejala PTSD yang termasuk dalam perubahan negatif, antara lain:
Muncul pikiran negatif.
Putus asa tentang masa depan.
Kesulitan dalam mengingat.
Merasa jauh dari keluarga dan teman.
Kurangnya minat pada kegiatan yang disukai sebelumnya.
Tak ada emosi positif.
Mati rasa.
3. Perubahan reaksi emosional dan fisik 
Lalu, gejala yang mengarah pada perubahan reaksi emosi dan fisik, yaitu: 
Mudah kaget atau ketakutan.
Selalu waspada terhadap bahaya.
Perilaku merusak diri.
Kesulitan tidur.
Mengalami kesulitan berkonsentrasi.
Rasa bersalah atau malu yang luar biasa.
Meski bisa terjadi pada siapa saja, PTSD ternyata lebih berisiko terjadi pada usia remaja. Inilah mengapa, orang tua perlu mengetahui apa saja tandanya dan bagaimana cara menangani masalah ini. "
Diagnosis PTSD,"Guna mendapatkan diagnosis yang akurat, dokter akan melakukan serangkaian tes kepada pengidap. Pemeriksaan tersebut termasuk: 
Pemeriksaan fisik guna mengetahui masalah medis yang menyebabkan gejala.
Melakukan evaluasi psikologis, mencakup diskusi tentang tanda dan gejala yang mengarah pada peristiwa.
Menggunakan kriteria dalam Diagnostic and Statistical Manual of Mental Disorders (DSM-5) dari American Psychiatric Association sebagai acuan.
Seseorang bisa dikatakan mengalami PTSD apabila pernah mengalami peristiwa atau kondisi berikut ini sebelum munculnya gejala: 
Mengalami peristiwa yang sangat traumatis secara langsung.
Melihat peristiwa traumatis yang terjadi pada orang lain.
Mendapat kabar bahwa orang terdekat mengalami kejadian yang traumatis.
Terbayang akan peristiwa yang tidak menyenangkan atau memicu trauma berulang kali tanpa sadar. "
Pengobatan PTSD,"Penanganan atau pengobatan PTSD bisa berupa psikoterapi, pemberian obat, dan gabungan antara dua pilihan tersebut.
Dokter akan memberikan penanganan sesuai dengan gejala yang muncul, tingkat keparahan, riwayat penyakit, dan penyebab yang mendasarinya. 
1. Psikoterapi
Psikoterapi menjadi pilihan penanganan PTSD yang paling utama. Setidaknya, ada tiga macam terapi yang bisa menjadi pertimbangan, yaitu: 
Terapi kognitif. Jenis terapi bicara ini membantu pengidap mengenali cara berpikir (pola kognitif) yang membuatnya terjebak dalam ingatan masa lalu.
Terapi paparan. Terapi perilaku ini membantu pengidap menghadapi situasi dan ingatan yang menakutkan dengan aman.
Desensitisasi dan pemrosesan ulang gerakan mata. Terapi ini adalah gabungan antara pemaparan dengan gerakan mata untuk memproses ingatan traumatis dan mengubah cara bereaksi.
2. Obat
Selain itu, dokter juga bisa meresepkan obat untuk membantu menangani PTSD. Pilihan obatnya termasuk: 
Antidepresan. Dokter meresepkan obat ini untuk membantu gejala depresi, kecemasan, masalah tidur, dan konsentrasi.
Antikecemasan. Obat ini dapat meredakan kecemasan parah dan masalah terkait. Obat hanya digunakan dalam waktu singkat.
Prazosin. Obat ini bisa mengurangi atau menekan mimpi buruk pada pengidap."
Komplikasi PTSD,"Gangguan stres pascatrauma dapat mengganggu seluruh aspek kehidupan termasuk pekerjaan, hubungan, kesehatan, dan hobi. Mengidap gangguan stres pascatrauma juga dapat meningkatkan risiko masalah kesehatan mental lainnya seperti:
1. Depresi
Orang dengan lebih berisiko mengalami depresi. Trauma yang dialami dan gejala PTSD yang berkepanjangan dapat menyebabkan perasaan sedih, kehilangan minat, keputusasaan, dan perubahan suasana hati yang signifikan.
2. Kecemasan 
Kondisi ini sering dikaitkan dengan peningkatan kecemasan. Pengidapnya dapat mengalami gangguan kecemasan umum, gangguan panik, atau gangguan kecemasan lainnya.
3. Gangguan Pola Tidur
Kondisi ini dapat menyebabkan gangguan tidur, seperti insomnia atau mimpi buruk yang berulang. Gangguan tidur ini dapat mengakibatkan kelelahan fisik dan mental yang berkepanjangan.
4. Penggunaan Zat
Beberapa pengidapnya mencoba mengatasi gejala dan emosi yang sulit dengan menggunakan alkohol, obat-obatan terlarang, atau obat-obatan resep secara berlebihan.
5. Gangguan Fisik
Kondisi ini dapat berdampak pada kesehatan fisik seseorang. Peningkatan kadar hormon stres yang berkepanjangan dapat menyebabkan gangguan sistem kekebalan tubuh, masalah pencernaan, dan gangguan kardiovaskular.
6. Isolasi Sosial
PTSD dapat menyebabkan seseorang menghindari interaksi sosial atau mengisolasi diri dari lingkungan sosialnya. Hal ini bisa mengarah pada perasaan kesepian dan kehilangan dukungan sosial yang dapat memperburuk gejala PTSD.
7. Gangguan Fungsi Kognitif
Beberapa individu dengan PTSD dapat mengalami gangguan fungsi kognitif, seperti kesulitan berkonsentrasi, daya ingat yang menurun, dan penurunan kemampuan pengambilan keputusan.
8. Masalah Hubungan dan Keluarga
PTSD dapat menyebabkan konflik dalam hubungan interpersonal dan keluarga. Gejala PTSD seperti marah, waspada berlebihan, atau ketidakmampuan untuk mengungkapkan emosi dapat mempengaruhi hubungan dengan orang-orang terdekat.
9. Pikiran Bunuh Diri
 Beberapa pengidapnya mengalami pikiran atau perasaan ingin bunuh diri sebagai akibat dari tekanan emosional dan mental yang berat.
"
Pencegahan PTSD,"Ketakutan, kecemasan, kemarahan, depresi, rasa bersalah adalah reaksi umum terhadap seseorang yang mengalami trauma. Namun, tidak semua pengidap mengalami gangguan stres pascatrauma jangka panjang. 
Mendapatkan bantuan tepat waktu dapat mencegah perkembangan PTSD semakin parah. Jadi, tidak ada salahnya untuk bercerita pada keluarga, pasangan, atau teman dekat akan kondisi yang kamu alami. "
Definisi Psikologi,"Psikologi adalah disiplin ilmu yang mempelajari lebih dalam mengenai mental, pikiran, dan perilaku manusia. Disiplin ilmu ini meneliti alur pemikiran manusia dan alasan di balik perilaku dan tindakan tersebut. Ilmu psikologi ini sering kali dimanfaatkan untuk menyelesaikan masalah atau mencari solusi tepat dalam serangkaian aktivitas manusia yang kompleks.
Dari sisi kesehatan pun, masalah psikologi atau gangguan terkait kepribadian bisa muncul akibat kondisi penyakit tertentu. Ini juga berlaku sebaliknya, beberapa perilaku manusia juga bisa memengaruhi kesehatan. 
Oleh karena itu, memahami lebih dalam mengenai psikologi adalah hal yang penting untuk dilakukan untuk meraih kesehatan mental dan kesejahteraan hidup secara keseluruhan. "
Hubungan Psikologi dan Kesehatan,"Ilmu psikologi terbagi menjadi beberapa bidang, salah satunya adalah psikologi kesehatan. Bidang ini berfokus pada peningkatan, pencegahan, dan pengobatan masalah kesehatan mental. 
Psikologi kesehatan menekankan bagaimana suatu perilaku dapat memengaruhi kesehatan. Itulah sebabnya psikologi kesehatan berada pada posisi yang tepat untuk membantu orang mengubah perilaku yang berkontribusi pada kesehatannya.
Misalnya, seorang psikolog kesehatan mungkin harus fokus melakukan penelitian mengenai bagaimana mencegah perilaku tidak sehat, seperti merokok atau minum alkohol, dan mencari cara baru untuk mendorong orang agar berperilaku sehat seperti olahraga. 
Psikolog kesehatan juga melihat faktor psikologis yang mempengaruhi pilihan kesehatan seseorang. Lalu mencari cara untuk memotivasi orang tersebut agar membuat pilihan kesehatan yang lebih baik. 
Psikologi kesehatan juga dimaksudkan untuk memberikan penanganan terhadap masalah kesehatan, seperti:
Pengurangan stres.
Manajemen berat badan.
Berhenti merokok.
Meningkatkan nutrisi harian.
Mengurangi perilaku seksual berisiko.
Mencegah penyakit.
Memahami efek penyakit.
Meningkatkan pemulihan.
Mengajarkan keterampilan pencegahan."
"Manfaat Psikologi Kesehatan
","Tindakan kesehatan yang berkaitan dengan pendekatan psikologi sangat penting. Berikut ini beberapa manfaatnya:
Saat pasien menunjukkan tingkah laku yang berbeda akibat penyakit yang ia alami, misalnya muncul gejala depresi atau frustrasi, atau dalam tingkat ringan, seperti kekurangan motivasi untuk sembuh dan pendekatan psikologi bisa dilakukan untuk mengatasi masalah ini.
Memprediksi tingkah laku pasien saat ia melalui tingkatan penyakit tertentu. Langkah ini sebagai bentuk pencegahan dini terhadap timbulnya masalah-masalah psikis lain yang lebih berat.
Mengumpulkan data tentang sikap dan pemikiran pasien ketika ia mengalami penyakit sebelumnya.
Mengevaluasi peran psikologi dalam perawatan pasien.
Psikologi kesehatan juga digunakan untuk memberikan contoh bagaimana seharusnya berpikir dan bertingkah laku kepada orang yang sakit.
Tips Psikologi Kesehatan
Terdapat berbagai tips psikologi kesehatan secara umum yang bisa kamu lakukan, antara lain:
1. Tidur tujuh sampai delapan jam setiap hari
Supaya bisa beraktivitas secara efektif dan produktif, manusia membutuhkan delapan jam waktu untuk tidur yang berkualitas setiap malamnya. Namun, bagi beberapa orang mungkin membutuhkan waktu lebih atau kurang dari delapan jam. 
Temukan jam tidur yang sesuai dengan kondisi tubuhmu, agar bisa mengatur kegiatan harianmu dengan lebih baik dan badanmu selalu fit.
2. Sarapan setiap hari
Kebiasaan melewatkan sarapan bisa berakibat buruk bagi tubuh, seperti dosis harian terhadap vitamin dan nutrisi yang jadi sulit untuk diperoleh tubuh. 
Orang yang terbiasa sarapan cenderung memiliki pola makan sehat secara keseluruhan. Apabila rutin dilakukan setiap hari, sarapan bisa memberikan asupan nutrisi yang banyak dan lengkap untuk menemani beraktivitas seharian.
Jenis makanan sehat yang sebaiknya dikonsumsi saat sarapan adalah yang memiliki kandungan biji-bijian utuh, seperti sereal gandum utuh. Jenis makanan lain, misalnya buah-buahan, sayur-sayuran, protein yang didapat dari selai kacang, daging tanpa lemak, ayam, ikan, telur rebus, dan sedikit lemak dari keju atau susu rendah lemak juga sangat direkomendasikan.
Kombinasi karbohidrat kompleks, serat, protein, dan sedikit lemak tersebut bermanfaat bagi kesehatan tubuh secara keseluruhan akan membuat kamu kenyang lebih lama.
3. Kurangi kebiasaan ngemil di malam hari
Kebiasaan ngemil di malam hari bisa juga memberikan pengaruh negatif bagi kinerja otak, khususnya dalam menyimpan memori jangka panjang dan kemampuan berpikir seseorang secara keseluruhan.
Hal ini dikarenakan bila kamu ngemil di malam hari bisa mengacaukan siklus tidur dan bangun yang akan memberikan pengaruh negatif bagi kesehatan dan fungsi kognitif.
Kebiasaan ngemil malam serta kebiasaan sering menunda makan adalah salah satu pengganggu siklus tidur dan bangun. Selain itu, paparan cahaya di malam hari atau melakukan latihan kardiovaskular yang berat saat mendekati jam tidur juga sebaiknya dihindari demi kualitas tidur yang baik.
4. Tidak merokok
Siapa yang tidak mengetahui jika rokok hanya merugikan siapapun yang menghirup asapnya dan berdampak negatif bagi kesehatan, seperti penyakit kanker, jantung, stroke, keguguran pada ibu hamil, dan sebagainya. Mulailah berhenti merokok sekarang juga demi hidup yang lebih sehat.
5. Tidak mengonsumsi alkohol
Sama halnya dengan merokok, konsumsi minuman beralkohol akan menimbulkan dampak negatif untuk kesehatan tubuh. Minuman ini akan mengubah kinerja otak dan refleks pada tubuh, juga memicu terjadinya obesitas dan kecanduan.
Dalam hubungannya dengan jantung, alkohol bisa berakibat baik atau buruk laiknya obat-obatan. Ini tergantung pada seberapa banyak kamu mengonsumsinya.
"
Definisi Retardasi Mental,"Retardasi mental adalah gangguan intelektual yang umumnya ditandai dengan kemampuan mental atau inteligensi yang berada di bawah rata-rata. Kondisi ini juga kerap disebut disabilitas intelektual dan ia bisa memengaruhi kapasitas seseorang untuk belajar dan menyimpan informasi baru. Bahkan kondisi ini juga bisa memengaruhi perilaku sehari-hari seperti keterampilan sosial dan rutinitas kebersihan. 
Tingkat keparahan retardasi mental cukup bervariasi, mulai dari ringan hingga sangat berat. Umumnya, kemampuan inteligensi seseorang akan diukur dengan menggunakan skor IQ. Seseorang dikatakan mengalami kondisi ini apabila mendapatkan skor IQ di bawah 70.
Anak-anak dengan retardasi mental ringan dapat menjalani kehidupan seperti orang normal dengan dukungan yang tepat. Namun, anak-anak dengan kondisi yang yang parah membutuhkan dukungan yang lebih banyak dan konstan. 
Kondisi ini biasanya disebut keterbelakangan mental, yang berkonotasi negatif di masyarakat. Oleh karena itu, frasa ini digantikan dengan disabilitas intelektual. Istilah ini kurang ofensif dan tidak mengjelaskan tingkat keparahan kondisi."
Penyebab Retardasi Mental,"Mungkin sulit untuk mengidentifikasi penyebab spesifik dari retardasi mental yang dialami seseorang. Namun, kondisi ini biasanya disebabkan oleh gangguan perkembangan otak.  
Apa pun yang mengganggu pertumbuhan dan perkembangan anak dapat menyebabkan kondisi ini. Nah, berikut ini adalah beberapa hal yang menjadi penyebab yang paling sering terjadi: 
Kelainan Genetik. Kelainan seperti sindrom down dan sindrom fragile X yang diduga memiliki keterkaitan dengan kelainan genetik yang kemudian bisa menyebabkan kondisi ini.
Masalah selama Kehamilan. Beberapa kondisi yang terjadi selama kehamilan nyatanya bisa menyebabkan gangguan perkembangan otak janin. Ini termasuk penggunaan alkohol, konsumsi obat-obatan terlarang, gizi buruk, infeksi, dan preeklamsia.
Masalah selama Masa Bayi. Retardasi mental juga bisa terjadi akibat gangguan selama masa kelahiran. Seperti misalnya akibat bayi tidak mendapatkan asupan oksigen yang cukup, atau bayi lahir dalam kondisi yang sangat prematur sehingga paru-paru belum matang secara sempurna.
Cedera atau Penyakit Lainnya. Infeksi seperti meningitis, atau campak juga bisa menyebabkan anak mengalami penyakit ini. Cedera kepala berat, keadaan hampir tenggelam, malnutrisi ekstrem, infeksi otak juga merupakan conton hal-hal yang bisa memicu retardasi mental."
Faktor Risiko Retardasi Mental,"Ada beberapa faktor yang nyatanya bisa meningkatkan risiko pada anak antara lain:
Faktor biologis, contohnya saat terjadinya kelainan kromosom pada pengidap sindrom Down.
Faktor metabolik, beberapa kelainan metabolik dapat meningkatkan risiko retardasi mental seperti penyakit phenylketonuria (PKU), d imana tubuh tidak dapat mengubah asam amino fenilalanin menjadi tirosin.
Faktor prenatal, perawatan pra kelahiran yang buruk dapat meningkatkan risiko penyakit ini pada bayi, contohnya konsumsi alkohol pada kehamilan dan infeksi cytomegalovirus  saat kehamilan.
Faktor psikososial, yakni lingkungan rumah dan keluarga yang menyebabkan kondisi ini terjadi. Terutama tipe sosio-kultural, yang merupakan retardasi mental dengan tingkatan yang ringan."
Gejala Retardasi Mental,"Gejala retardasi mental biasanya akan mulai terlihat sejak anak usia dini. Dalam beberapa kasus, tanda-tandanya mungkin bersifat fisik. Misalnya, anak mungkin memiliki kepala yang sangat besar atau kecil, ada kelainan pada tangan atau kaki mereka, atau perbedaan fisik lainnya. Namun, ini tidak selalu terjadi.
Anak-anak yang tampak sehat secara fisik dan normal juga bisa mengalami retardasi mental. Anak-anak yang memiliki kondisi yang parah mungkin mulai menunjukkan gejala pada usia yang lebih dini daripada mereka yang memiliki bentuk yang lebih ringan. 
Jika khawatir anak mungkin memiliki retardasi mental, berikut adalah beberapa tanda awal yang harus diwaspadai:
Sering berputar, duduk-berdiri, merangkak, atau terlambat berjalan.
Mempunyai  gangguan dalam berbicara, seperti gagap. 
Lamban dalam memelajari sesuatu hal yang sederhana, seperti berpakaian, membersihkan diri, dan makan.
Kesulitan mengingat barang
Kesulitan untuk berhubungan dengan orang lain.
Gangguan perilaku, seperti tantrum.
Kesulitan dalam melakukan diskusi, sulit menyelesaikan suatu masalah, atau pola pikir yang kurang logis."
Diagnosis Retardasi Mental,"Retardasi mental dapat dicurigai dari beberapa sebab. Contohnya jika bayi memiliki abnormalitas fisik karena memiliki kelainan genetik atau kelainan metabolik, berbagai macam pemeriksaan dapat juga dilakukan untuk memastikan diagnosis tersebut. 
Nah, ada tiga jenis faktor yang dapat menentukan diagnosis retardasi mental yaitu:
Wawancara dengan kedua orang tua.
Observasi terhadap anak
Uji intelegensi dan kemampuan adaptif. 
Nantinya seorang anak akan didiagnosis mengidap retardasi mental jika memiliki kekurangan dalam IQ dan kemampuan adaptif.
Dalam menentukan diagnosis anak, beberapa tes mungkin dilakukan dokter, seperti:
Tes neurologis seperti electroencephalogram (EEG) atau magnetic resonance imagining (MRI) untuk menentukan apakah ada kelainan di otak.
Tes genetik untuk membantu mengidentifikasi apakah ada  kelainan bawaan seperti sindrom Fragile X yang dapat menyebabkan cacat intelektual.
Tes medis umum tergantung pada gejala yang ditunjukkan anak.
Tes pendidikan khusus.
Tes skrining perkembangan untuk menentukan tingkat fungsi intelektual dan sosial anak.
Skrining prenatal untuk menentukan apakah ada masalah perkembangan saat anak masih dalam kandungan.
Evaluasi pendengaran jika masalah pendengaran bertanggung jawab atas gangguan fungsi intelektual dan bukan kecacatan intelektual. "
Pengobatan Retardasi Mental,"Terdapat beberapa program pengobatan pada anak dengan retardasi mental. Semakin cepat kondisi ini diperikasakan, maka semakin baik juga perkembangan yang dapat diusahakan saat pengobatan. 
Sementara itu, untuk bayi dan anak-anak, intervensi awal meliputi:
Terapi wicara.
Terapi okupasi.
Terapi motorik-fisik.
Konseling keluarga.
Latihan penggunaan alat khusus.
Program pengaturan nutrisi.
Pada anak usia sekolah yang memiliki retardasi mental, mereka dapat didaftarkan pada program sekolah khusus untuk retardasi mental demi  meningkatkan kemampuan adaptabilitas anak."
Komplikasi Retardasi Mental,"Anak dengan retardasi mental tingkat berat biasanya akan mengalami komplikasi berupa masalah kesehatan lainnya. Masalah ini terkait kejang, gangguan suasana hati (cemas dan autisme), kelainan motorik, gangguan penglihatan atau gangguan pendengaran."
Pencegahan Retardasi Mental,"Salah satu yang paling sering dan dapat dicegah dari banyaknya kemungkinan penyebab retardasi mental adalah sindrom janin alkohol. Jadi, ibu hamil sangat disarankan untuk tidak mengonsumsi alkohol.
Pemeriksaan kehamilan yang dilakukan secara berkala dan rutin juga dapat mencegah timbulnya retardasi mental. Asupan vitamin, vaksin, dan edukasi yang diberikan petugas kesehatan bisa membantu mengurangi faktor risiko.
Pada keluarga yang memiliki riwayat penyakit keturunan, konseling genetik dapat dilakukan sebelum merencanakan kehamilan. Beberapa pemeriksaan seperti USG dan pengambilan cairan ketuban, dapat dilakukan untuk mengetahui ada tidaknya retardasi mental. Meskipun, pemeriksaan ini hanya sebagai penapisan sebelum persalinan, bukan sebagai pengobatan."
Definisi Skizofrenia,"Skizofrenia adalah gangguan kejiwaan kronis ketika pengidapnya mengalami halusinasi, delusi, kekacauan dalam berpikir, dan perubahan sikap. Umumnya, pengidap gangguan kesehatan mental ini menunjukkan gejala psikosis, yaitu kesulitan membedakan antara kenyataan dengan pikiran pada diri sendiri.
Inilah yang membuat banyak orang beranggapan bahwa skizofrenia mirip dengan psikosis. Padahal, keduanya ternyata berbeda. Mudahnya, psikosis hanya salah satu gejala dari beberapa jenis gangguan mental, termasuk skizofrenia."
Penyebab Skizofrenia,"Hingga saat ini, ahli belum dapat memastikan apa yang menjadi penyebab pasti dari skizofrenia. Meski begitu, ada beberapa kondisi yang memiliki kaitan dengan masalah kesehatan mental ini, yaitu: 
1. Genetik
Keturunan dari seseorang dengan kondisi skizofrenia memiliki risiko 10 persen lebih tinggi untuk mengalami kondisi serupa.
Risiko tersebut meningkat hingga 40 persen ketika kedua orang tua sama-sama mengalami kelainan mental ini.
Sementara itu, anak kembar yang salah satunya mengidap skizofrenia akan memiliki risiko hingga 50 persen lebih besar.
2. Komplikasi kehamilan dan persalinan
Skizofrenia dapat muncul karena beberapa kondisi yang mungkin terjadi ketika hamil dan dampaknya akan terlihat saat anak lahir.
Misalnya, paparan racun dan virus, ibu yang mengidap penyakit diabetes gestasional, perdarahan dalam masa kehamilan, dan kekurangan nutrisi. 
Selain kehamilan, komplikasi yang terjadi ketika persalinan juga dapat menyebabkan seorang anak mengidap kelainan mental ini.
Contohnya, berat badan rendah saat lahir, kelahiran prematur, dan asfiksia atau kekurangan oksigen saat lahir.
3. Faktor kimia pada otak
Ketidakseimbangan kadar serotonin dan dopamin pada otak dapat menjadi salah satu kondisi yang menyebabkan sekaligus meningkatkan risiko skizofrenia.
Keduanya adalah zat kimia yang berfungsi untuk mengirimkan sinyal antara sel otak sebagai bagian dari neurotransmitter.
Selain itu, pengidap kelainan mental ini juga memiliki perbedaan pada struktur dan fungsi otak ketimbang seseorang yang tidak memiliki masalah kejiwaan.
Perbedaan ini termasuk:
Ventrikel otak memiliki ukuran yang lebih besar. Ventrikel adalah bagian dalam otak yang berisi cairan.
Lobus temporalis memiliki ukuran yang lebih kecil. Ingatan dalam otak manusia berkaitan dengan lobus temporalis.
Sel-sel pada otak memiliki koneksi yang lebih sedikit."
Faktor Risiko Skizofrenia,"Siapa saja bisa mengalami skizofrenia, tetapi kelainan ini lebih rentan terjadi pada usia remaja dan dewasa muda. Selain itu, ada pula beberapa faktor yang bisa meningkatkan risiko masalah kesehatan mental ini, yaitu: 
Bentuk struktur otak dan sistem saraf pusat yang tidak normal.
Beberapa komplikasi kehamilan dan kelahiran, seperti malnutrisi, kekurangan oksigen atau paparan racun atau virus yang dapat memengaruhi perkembangan otak.
Memiliki riwayat keluarga dengan skizofrenia.
Kelahiran prematur.
Peningkatan aktivasi pada sistem kekebalan tubuh.
Ketidakseimbangan kadar serotonin dan dopamin.
Mengonsumsi obat yang dapat mengubah pikiran (psikoaktif atau psikotropika) selama masa remaja dan dewasa muda."
